year,workauthorization,country,gender,degree,college,department,major,graddate,status,employer.school,jobtitle.gradprogram,city,state.country,graddegree,useful,dateoffered,dateaccepted,jobfunction,employerindustry,numoffers
2013,U.S. Citizen,United States,Male,BS,CIT,Electrical & Computer Engineering,Electrical and Computer Engineering,S13,E,Palantir,Forward Deployed Engineer,Palo Alto,CA,NA,NA,NA,NA,Electrical/Computer,technology,NA
2013,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BA,S13,E,Deloitte,Enterprise Risk Services Consultant,New York,NY,NA,Networking,8-Jul,8-Aug,Consulting: Finance,consulting,0
2013,U.S. Citizen,United States,Male,BS,Dietrich,Statistics,ECOSTA,F12,E,Epic Systems,Problem Solver,Madison,WS,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BFA,CFA,Architecture,ARC,S13,E,TBD,NA,Bay Area,CA,NA,NA,NA,NA,NA,fashion,NA
2013,Non-US Citizen,Singapore,Male,BS,Dietrich,H&SS Interdisciplinary,INFOSYS,S13,E,IBM,Consultant in Strategy and Change- Internal Practice,New York,NY,NA,Networking,NA,NA,NA,consulting,4
2013,U.S. Citizen,United States,Female,BS,Tepper,Business Administration,BA,S13,E,IBM,Market Development and Insights,New York,NY,NA,TartanTRAK,NA,NA,Consulting: Management/Strategy,technology,NA
2013,NA,Canada,NA,BFA,CFA,Design,COMDES,Summer13,E,Microsoft,User Experience Designer,Redmond,WA,NA,NA,NA,NA,NA,NA,NA
2013,Non-US Citizen,Korea,Male,BS,SCS,Computer Science,CS,S13,E,Facebook,Software Engineer,Menlo Park,CA,NA,NA,NA,NA,NA,NA,NA
2013,NA,Korea,NA,BFA,CFA,Design,COMDES,S13,E,Microsoft,User Experience Designer,Redmond,WA,NA,NA,NA,NA,NA,NA,NA
2013,Permanent Resident,United States,Male,BS,MCS,Mathematical Sciences,MSCOR,S13,E,Susquehanna International Group,Technology Intern,Philadelphia,PA,NA,NA,NA,NA,NA,NA,NA
2013,NA,United States,NA,BFA,CFA,Design,COMDES,S13,E,IBM,UX Designer,Austin,TX,NA,"Networking (i.e. Faculty Advisor, Friends, Family)",39814,41334,Creative: Interaction Design,technology,3
2013,U.S. Citizen,United States,Female,BS,CIT,Chemical Engineering,CHE,S13,E,Merck,Associate Process Specialist,Elkton,VA,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,CIT,Civil & Environmental Engineering,CEE,S13,E,Deloitte,Business Analyst,Pittsburgh,PA,NA,Internet Job Listing,13-Nov,13-Dec,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S13,E,Intel,mechanical engineer,Hillsboro,OR,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Dropbox,Software Engineer,Pittsburgh,PA,NA,NA,NA,NA,Electrical/Computer,technology,NA
2013,U.S. Citizen,United States,Male,BS,CIT,Mechanical Engineering,MEG,S13,E,Boeing,Structural/Payload Design Engineer,St. Louis,MO,NA,networking,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,CIT,Civil & Environmental Engineering,CEE,S13,E,Schlumberger,Field Engineer,Midland,TX,NA,Job Fair/Networking/Hired from summer internship,12-Oct,12-Nov,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,MCS,Biological Sciences,BSC,S13,E,Teach for America,High School Physics Teacher,NA,NC,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Male,BS,SCS,Computer Science,CS,S13,E,Amazon,Software Developer,Seattle,WA,NA,NA,NA,NA,NA,NA,NA
2013,NA,United States,NA,BFA,CFA,Design,INDDES,S13,E,IBM,UX Designer,Austin,TX,NA,NA,NA,NA,NA,NA,NA
2013,U.S. Citizen,United States,Female,BS,Dietrich,Social & Decision Sciences,INTRELP,S13,E,IBM,Consultant,New York,NY,NA,NA,NA,NA,NA,NA,NA
2013,Non-US Citizen,India,Male,BS,CIT,Electrical & Computer Engineering,ECE,S13,E,Epic Systems,Software Developer,Madison,WI,NA,NA,NA,NA,Electrical/Computer,technology,NA
2013,U.S. Citizen,United States,Female,BS,CIT,Electrical & Computer Engineering,ECE,S13,E,Qualcomm,Software Engineer,San Diego,CA,NA,NA,NA,NA,Electrical/Computer,technology,NA
2013,U.S. Citizen,United States,Female,BS,CFA,Music,MPVOI,S13,F,Self-Employed,Vocalist,NA,NJ,NA,NA,NA,NA,NA,NA,NA
